ID,x
1,68.00779122
2,55.04936403
3,77.15002371
4,80.41031253
5,58.95630487
6,79.22579771
7,65.67356836
8,83.6066503
9,69.59538274
10,79.13774744
11,62.53567447
12,65.38967127
13,64.42516253
14,63.16045511
15,85.10920136
16,72.00538504
17,80.03786982
18,73.78808059
19,49.45996279
20,69.22132816
21,68.20025415
22,78.72739704
23,76.03492118
24,52.45832881
25,61.73726405
26,83.6373048
27,75.47995961
28,71.04397271
29,74.20214
30,73.72121919
31,54.58008985
32,59.12939811
33,43.57083001
34,100.1559042
35,65.69643403
36,76.15872267
37,74.68865963
38,71.50427345
39,87.51018318
40,47.62605639
41,105.8187966
42,63.52940439
43,89.91888775
44,60.02661582
45,50.61536871
46,78.43392467
47,86.20765976
48,69.94799329
49,96.81815256
50,98.28121822
51,46.80575664
52,68.52116358
53,87.66727996
54,73.7486538
55,107.4627007
56,34.78084709
57,67.57461161
58,97.25384449
59,57.32786704
60,101.2221963
61,71.40536814
62,64.954279
63,65.01629111
64,75.55001693
65,79.53087356
66,60.19672488
67,89.50208496
68,74.2127417
70,60.88656766
71,84.44534729
72,57.90353864
73,47.45974048
74,92.22835439
75,39.45616203
76,77.93323394
77,94.46321736
78,77.63253513
79,83.32361274
81,74.74493559
82,84.09171634
83,79.43574053
84,97.56278746
85,77.63508458
86,58.26732285
87,48.82655163
88,66.74197346
89,60.86129091
90,97.94688034
91,89.58111551
92,68.30890119
93,75.76920106
94,81.19611995
96,45.18428826
97,66.34232049
99,90.57886218
100,69.88975168
101,70.62197936
102,85.58562955
103,73.71619593
104,61.7608516
105,70.73864935
106,53.63471097
107,36.88783099
108,73.31677904
109,68.98719918
110,85.53845763
111,86.47539323
112,72.15608022
113,98.49522274
114,69.64214785
115,80.15652394
116,72.2373357
117,79.86954822
118,90.34204226
119,78.82211843
120,76.56906466
121,81.53957296
122,96.19941923
123,66.64009796
124,61.16951026
125,70.67831192
126,98.65558612
127,77.41937771
128,66.94650436
129,69.53254794
130,69.03210868
131,85.28994266
132,67.76067865
133,67.49545209
134,72.04297932
135,59.9149345
136,73.47322338
137,84.33885608
138,87.44749156
139,86.78714762
140,56.34688659
141,51.45113746
142,75.86688184
143,92.53498402
144,49.73559289
145,45.5884102
146,76.00391021
147,47.31284857
148,71.18650008
149,83.58546674
150,84.7067452
151,74.99346358
152,53.72881798
153,38.60105788
155,89.6307376
156,61.65352729
157,100.2244652
158,67.13651466
160,46.70276409
161,48.27430612
162,47.50246145
163,78.62378025
164,84.19995368
165,79.79721091
166,76.43635827
167,67.33249881
168,75.38380015
169,62.28298401
170,70.42101764
171,52.358607
172,45.01151603
173,73.21412101
174,78.19122993
