ID,x,y
1,68.00779122,-428.5774038
2,55.04936403,-273.4939842
3,77.15002371,-459.8210426
4,80.41031253,-470.5398887
5,58.95630487,-253.2032912
6,79.22579771,-429.3574575
7,65.67356836,-367.3300627
8,83.6066503,-491.8200318
9,69.59538274,-471.4275521
10,79.13774744,-435.7235346
11,62.53567447,-479.4953831
12,65.38967127,-441.8654403
13,64.42516253,-411.5524114
14,63.16045511,-406.9928043
15,85.10920136,-599.484035
16,72.00538504,-480.8218436
17,80.03786982,-545.02093
18,73.78808059,-433.1217539
19,49.45996279,-258.3459206
20,69.22132816,-497.3694198
21,68.20025415,-500.5470744
22,78.72739704,-519.7309017
23,76.03492118,-423.3324423
24,52.45832881,-382.9458045
25,61.73726405,-353.506692
26,83.6373048,-546.9703326
27,75.47995961,-462.9645754
28,71.04397271,-386.2662974
29,74.20214,-427.3889619
30,73.72121919,-390.8541221
31,54.58008985,-309.1778353
32,59.12939811,-265.586277
33,43.57083001,-264.3981319
34,100.1559042,-602.4055894
35,65.69643403,-343.1826158
36,76.15872267,-417.9977936
37,74.68865963,-567.9799954
38,71.50427345,-425.1496346
39,87.51018318,-503.6324822
40,47.62605639,-400.99343
41,105.8187966,-638.724706
42,63.52940439,-468.2602478
43,89.91888775,-621.5796283
44,60.02661582,-263.7400972
45,50.61536871,-359.8103191
46,78.43392467,-537.1774664
47,86.20765976,-473.7924676
48,69.94799329,-460.8723962
49,96.81815256,-605.744651
50,98.28121822,-594.0033475
51,46.80575664,-255.660866
52,68.52116358,-377.4472403
53,87.66727996,-611.8079208
54,73.7486538,-412.5531051
55,107.4627007,-745.7750839
56,34.78084709,-160.4958901
57,67.57461161,-410.4596175
58,97.25384449,-618.4469497
59,57.32786704,-278.4643838
60,101.2221963,-560.3739173
61,71.40536814,-344.3362005
62,64.954279,-451.5751484
63,65.01629111,-370.9591186
64,75.55001693,-487.3989894
65,79.53087356,-481.7689644
66,60.19672488,-451.0542461
67,89.50208496,-520.143421
68,74.2127417,-458.975904
70,60.88656766,-395.3877365
71,84.44534729,-559.8921792
72,57.90353864,-397.8475268
73,47.45974048,-274.3650213
74,92.22835439,-559.0744419
75,39.45616203,-224.1371227
77,94.46321736,-540.4809227
78,77.63253513,-547.4192701
79,83.32361274,-543.4014908
81,74.74493559,-432.9785054
82,84.09171634,-543.5229976
83,79.43574053,-483.7374348
84,97.56278746,-609.0321883
86,58.26732285,-343.787966
87,48.82655163,-324.9583919
88,66.74197346,-395.6322849
89,60.86129091,-270.0176836
90,97.94688034,-704.8617508
91,89.58111551,-590.1849219
92,68.30890119,-420.0619486
93,75.76920106,-452.3403838
94,81.19611995,-554.6220014
96,45.18428826,-260.4674896
97,66.34232049,-375.4336168
99,90.57886218,-604.2536356
100,69.88975168,-431.3412034
101,70.62197936,-388.4229903
102,85.58562955,-448.557926
103,73.71619593,-436.7869336
104,61.7608516,-346.4068783
105,70.73864935,-394.517882
106,53.63471097,-300.3378588
107,36.88783099,-220.0869444
108,73.31677904,-521.2971502
109,68.98719918,-385.9223451
110,85.53845763,-622.1208468
111,86.47539323,-524.3123593
112,72.15608022,-443.3455053
113,98.49522274,-614.3755831
114,69.64214785,-419.1174229
115,80.15652394,-443.989079
116,72.2373357,-552.4740086
117,79.86954822,-476.6379164
118,90.34204226,-529.9610459
119,78.82211843,-482.3415755
120,76.56906466,-536.3797405
121,81.53957296,-490.4639537
122,96.19941923,-598.0852795
123,66.64009796,-500.8568061
124,61.16951026,-409.4794646
125,70.67831192,-448.5442393
126,98.65558612,-630.8939233
127,77.41937771,-461.4023438
128,66.94650436,-500.7727694
129,69.53254794,-465.9686461
131,85.28994266,-476.0860105
132,67.76067865,-497.6405995
133,67.49545209,-430.9383216
134,72.04297932,-426.3544596
135,59.9149345,-444.8930833
136,73.47322338,-491.9242505
137,84.33885608,-581.0206853
138,87.44749156,-534.9068068
139,86.78714762,-556.6259098
140,56.34688659,-272.6322127
141,51.45113746,-294.1464806
142,75.86688184,-535.7948485
143,92.53498402,-562.3822339
144,49.73559289,-275.7574386
145,45.5884102,-269.9508833
146,76.00391021,-455.0470166
147,47.31284857,-260.8000679
148,71.18650008,-494.6786456
149,83.58546674,-541.0065205
150,84.7067452,-487.5097948
151,74.99346358,-464.2376666
152,53.72881798,-320.8405473
153,38.60105788,-257.6969287
155,89.6307376,-408.4519018
156,61.65352729,-399.2411358
157,100.2244652,-548.8896718
158,67.13651466,-457.8185386
160,46.70276409,-267.0408667
161,48.27430612,-274.4405761
162,47.50246145,-264.4919509
163,78.62378025,-521.7798762
164,84.19995368,-494.5494951
165,79.79721091,-588.417444
166,76.43635827,-405.4117328
167,67.33249881,-417.3459293
168,75.38380015,-433.5180698
169,62.28298401,-368.5321013
170,70.42101764,-327.6898384
171,52.358607,-365.7112523
172,45.01151603,-308.683806
173,73.21412101,-536.9027202
174,78.19122993,-495.8777313
175,79.56707169,-476.0477679
176,87.40373434,-563.049898
177,63.42326606,-400.7138739
178,50.32086103,-323.2263335
179,84.34663305,-558.5036825
180,77.35030003,-389.2680445
181,50.82923164,-353.6198349
182,62.54882987,-306.5851178
183,54.51111214,-357.4276351
184,114.6717384,-745.8104949
185,53.82028641,-313.9340766
186,76.54446732,-506.1260854
187,56.60338106,-384.1031529
189,81.38074619,-478.3455324
190,91.2130075,-497.7552478
191,77.27838556,-541.2519018
192,55.67770261,-313.8477767
193,84.84291737,-587.7517562
194,94.3887687,-620.7213305
195,83.27988346,-453.0420218
196,86.90148713,-479.482886
197,97.35125621,-524.3715691
198,96.10780801,-571.6801425
199,72.35080261,-435.519071
200,99.79365071,-595.1986014
201,79.60650911,-482.3561255
202,49.61201065,-295.4431612
203,37.76893064,-217.9323086
204,70.76561385,-350.2580938
205,43.04873685,-228.092061
206,67.54996833,-475.9961128
207,93.96315466,-614.361004
208,83.30201376,-519.6254522
209,58.03530575,-317.4338991
210,76.76943347,-456.8857926
211,54.56716268,-323.222535
212,87.48406394,-538.5905832
213,83.66058815,-599.5697846
214,82.55115369,-541.3045018
215,97.27919023,-610.0137563
216,56.66015338,-394.0308936
217,75.90423082,-459.6177388
218,77.73637312,-496.5369221
219,48.15494917,-283.6751296
220,58.89809926,-300.6031621
221,76.44956107,-452.8365579
222,78.9279989,-418.0456027
223,82.91454753,-426.6967882
224,69.52794679,-341.2888294
225,50.30105981,-284.7903331
226,91.20801396,-579.6537018
227,96.32818244,-625.5455535
228,67.14462564,-419.1574231
229,94.55028519,-547.2454919
230,85.33148613,-582.3197329
232,50.9538651,-191.5815209
233,48.87596753,-298.9111252
234,67.12010961,-398.348141
235,68.55690141,-468.4414548
237,62.00083013,-460.9652287
238,40.58923468,-227.1873361
239,84.71660498,-572.1385514
240,62.33846674,-363.1286765
241,54.50218321,-347.9247893
242,77.89261991,-409.8300914
243,47.85484726,-194.8276183
244,69.64155163,-453.4467877
245,91.84732611,-537.6765125
246,85.32471601,-543.70601
247,71.69452407,-371.1852459
248,76.14679003,-428.3131493
249,89.87009315,-509.0659655
250,99.91227067,-558.2416474
251,86.19141963,-472.8828437
252,88.70723083,-458.1048854
253,91.63941673,-525.0816296
254,53.136786,-260.0091685
255,62.85729479,-397.1521256
256,76.0856649,-545.3279617
257,53.79436758,-383.4128074
258,79.91066546,-415.3576346
259,77.53021693,-447.8686288
260,66.87777797,-392.8913041
261,50.75962574,-346.4009022
262,69.72697467,-424.8583027
263,74.55696085,-490.3421961
264,75.76261642,-662.3824015
265,81.93418555,-555.6476575
266,80.28685527,-546.028096
267,96.2020495,-637.5958109
268,81.05917671,-482.9446158
269,74.01387472,-560.4646794
270,71.718158,-535.3795751
271,64.13305905,-438.144686
272,81.0972527,-510.3429824
273,55.97372113,-327.9882551
274,50.27545618,-250.5781866
276,95.41004253,-554.200344
277,77.05862213,-470.7258577
278,52.1809775,-308.1397147
279,65.43667372,-322.9554792
280,73.86332591,-458.3799606
281,67.00964628,-422.48502
282,67.7915605,-537.4875656
283,84.36943287,-460.2140644
284,65.40794301,-459.9539142
285,62.4347104,-306.1200211
286,69.88723291,-323.7176905
287,93.83365036,-559.7142363
288,71.60737337,-387.0555494
289,65.28666051,-524.7610142
290,93.07901407,-600.9113037
291,65.86010359,-423.736044
292,49.87358205,-245.4716202
293,60.84827092,-366.0696362
294,67.42880538,-325.466756
295,66.70908006,-378.9595936
296,59.98104819,-346.806172
297,57.07762347,-397.7144785
298,69.97581033,-446.0483146
299,31.04358948,-137.8143535
300,71.64973633,-376.7548042
301,95.05808898,-642.8605637
302,88.02398318,-564.5460935
303,69.48720662,-482.2406721
304,63.05643002,-399.3330637
305,54.03173222,-353.2581539
306,56.10869223,-382.7806942
307,75.15360483,-492.3990954
308,52.40781343,-328.9059467
309,65.20220524,-359.3161296
310,63.65303197,-394.6793549
311,81.52232695,-537.3216726
312,49.82488748,-263.8438089
313,73.31061166,-528.3150712
314,91.94364937,-619.0512057
315,60.95586865,-381.2409214
316,59.56356863,-415.8619633
317,26.64156027,-214.6179282
318,71.49922886,-359.3667822
319,27.35788684,-155.9017229
320,48.38024262,-258.6943542
322,88.16503276,-601.914583
323,86.6635723,-665.5897821
324,75.74376547,-503.6147344
325,67.93433456,-363.6997697
326,51.84823651,-360.1143278
327,79.06949707,-495.7916212
